trade_date,index_code,index_name_cn,open,high,low,close,change,change_pct,trading_volume,trading_value
20060302,930955,红利低波100,1137.28,1140.06,1121.8,1125.19,,-0.9,849.81,42.35
20060303,930955,红利低波100,1124.16,1129.71,1117.78,1128.31,,0.28,734.57,35.5
20060306,930955,红利低波100,1128.59,1129.98,1123.65,1126.73,,-0.14,736.76,29.68
20060307,930955,红利低波100,1126.47,1126.47,1104.68,1105.83,,-1.86,741.49,32.27
20060308,930955,红利低波100,1103.91,1105.55,1092.3,1098.92,,-0.63,664.59,29.0
20060309,930955,红利低波100,1097.4,1101.07,1093.54,1098.79,,-0.01,530.31,26.03
20060310,930955,红利低波100,1099.14,1102.72,1098.47,1102.23,,0.31,437.95,22.24
20060313,930955,红利低波100,1102.94,1111.58,1102.94,1111.58,,0.85,470.86,22.03
20060314,930955,红利低波100,1110.34,1111.37,1105.55,1111.28,,-0.03,476.42,21.95
20060315,930955,红利低波100,1112.49,1121.55,1112.49,1121.55,,0.92,545.69,26.41
20060316,930955,红利低波100,1119.36,1121.88,1117.62,1121.66,,0.01,560.33,27.4
20060317,930955,红利低波100,1121.55,1122.64,1115.87,1118.5,,-0.28,554.49,26.05
20060320,930955,红利低波100,1118.92,1129.63,1116.02,1129.63,,1.0,532.19,27.4
20060321,930955,红利低波100,1131.63,1135.7,1128.88,1131.07,,0.13,596.47,30.48
20060322,930955,红利低波100,1131.49,1136.65,1128.24,1136.65,,0.49,618.34,31.52
20060323,930955,红利低波100,1136.75,1138.43,1132.6,1137.58,,0.08,621.01,31.62
20060324,930955,红利低波100,1140.04,1142.34,1133.95,1134.54,,-0.27,670.13,33.9
20060327,930955,红利低波100,1133.56,1136.73,1129.14,1136.73,,0.19,552.96,29.18
20060328,930955,红利低波100,1135.16,1141.53,1135.16,1141.53,,0.42,898.09,39.32
20060329,930955,红利低波100,1141.55,1157.34,1141.55,1151.89,,0.91,1346.76,60.44
20060330,930955,红利低波100,1152.39,1153.09,1145.86,1145.86,,-0.52,849.72,41.04
20060331,930955,红利低波100,1147.94,1153.69,1143.11,1153.69,,0.68,929.24,40.87
20060403,930955,红利低波100,1155.74,1168.65,1155.74,1168.65,,1.3,948.54,47.68
20060404,930955,红利低波100,1169.98,1181.41,1167.8,1181.41,,1.09,929.01,46.73
20060405,930955,红利低波100,1180.31,1184.91,1177.84,1184.8,,0.29,1052.0,51.55
20060406,930955,红利低波100,1186.15,1189.55,1177.65,1182.64,,-0.18,1147.42,58.15
20060407,930955,红利低波100,1181.74,1185.32,1175.69,1185.32,,0.23,987.37,48.11
20060410,930955,红利低波100,1188.35,1206.1,1187.69,1206.1,,1.75,887.52,44.01
20060411,930955,红利低波100,1215.4,1224.12,1209.36,1220.95,,1.23,999.85,52.38
20060412,930955,红利低波100,1222.84,1227.45,1217.88,1223.01,,0.17,897.92,45.8
20060413,930955,红利低波100,1223.39,1228.3,1199.0,1199.17,,-1.95,1110.95,51.65
20060414,930955,红利低波100,1195.09,1224.33,1195.09,1224.33,,2.1,1389.72,59.05
20060417,930955,红利低波100,1223.38,1232.81,1221.21,1229.28,,0.4,1543.77,67.91
20060418,930955,红利低波100,1228.69,1236.52,1223.13,1231.41,,0.17,1157.57,51.74
20060419,930955,红利低波100,1235.77,1236.66,1220.08,1230.31,,-0.09,1300.31,60.07
20060420,930955,红利低波100,1232.28,1232.28,1216.19,1219.76,,-0.86,1267.71,60.05
20060421,930955,红利低波100,1220.95,1235.38,1215.63,1233.51,,1.13,1460.96,68.96
20060424,930955,红利低波100,1241.14,1241.14,1215.18,1219.11,,-1.17,1682.28,80.38
20060425,930955,红利低波100,1214.86,1214.86,1194.05,1205.89,,-1.08,1239.45,62.03
20060426,930955,红利低波100,1203.13,1223.1,1203.13,1222.9,,1.41,1390.75,70.62
20060427,930955,红利低波100,1223.11,1223.53,1209.84,1220.11,,-0.23,993.56,49.69
20060428,930955,红利低波100,1199.19,1241.21,1199.19,1238.25,,1.49,1402.72,68.83
20060508,930955,红利低波100,1244.55,1287.17,1244.55,1287.17,,3.95,1564.89,83.5
20060509,930955,红利低波100,1296.07,1328.27,1295.82,1328.27,,3.19,1796.64,98.74
20060510,930955,红利低波100,1333.1,1353.26,1317.76,1345.94,,1.33,1704.63,93.11
20060511,930955,红利低波100,1347.05,1375.82,1331.18,1331.18,,-1.1,1958.02,109.69
20060512,930955,红利低波100,1328.03,1375.3,1328.03,1375.3,,3.31,1868.46,113.78
20060515,930955,红利低波100,1392.76,1431.5,1384.36,1431.5,,4.09,2566.17,147.77
20060516,930955,红利低波100,1456.22,1472.55,1399.28,1408.47,,-1.61,3006.14,172.57
20060517,930955,红利低波100,1409.37,1434.8,1399.69,1426.92,,1.31,2002.11,114.0
20060518,930955,红利低波100,1418.69,1440.73,1401.92,1431.13,,0.3,1788.77,95.15
20060519,930955,红利低波100,1433.14,1471.55,1432.95,1465.95,,2.43,3155.46,131.89
20060522,930955,红利低波100,1470.53,1513.51,1470.53,1501.99,,2.46,2770.52,134.36
20060523,930955,红利低波100,1499.82,1499.82,1440.27,1440.33,,-4.11,2326.16,115.27
